synthetic_cnr,state,district,court_establishment,case_type,tier,filing_year,case_age_days,current_stage,adjournment_count,judge_change_count,structural_stall_label
SYN/PUN/CS/2021/000001,Maharashtra,Pune,PUNE_SYN_DC_01,CS,district,2021,1985,Summons / Appearance,5,3,1
SYN/PUN/CS/2021/000002,Maharashtra,Pune,PUNE_SYN_DC_01,CS,district,2021,1920,Summons / Appearance,1,0,0
SYN/UP/WP_C/2024/000003,Uttar Pradesh,Pune,UTTAR__DC_04,WP_C,district,2024,594,Pleadings / Issues,3,1,1
SYN/OT/CS/2022/000004,Jharkhand,Kolkata,JHARKH_DC_02,CS,district,2022,1440,Summons / Appearance,2,1,0
SYN/OT/CS/2024/000005,Jharkhand,Kochi,JHARKH_DC_05,CS,district,2024,866,Summons / Appearance,4,3,1
SYN/MH/CS/2020/000006,Maharashtra,Kolkata,MAHARA_DC_01,CS,district,2020,2143,Pleadings / Issues,2,0,0
SYN/OT/CS/2021/000007,Chhattisgarh,Varanasi,CHHATT_DC_05,CS,district,2021,1825,Evidence / Argument,2,0,0
SYN/OT/CRL_A/2023/000008,Haryana,Guntur,HARYAN_DC_04,CRL_A,district,2023,1296,Summons / Appearance,3,0,0
SYN/MH/BA/2020/000009,Maharashtra,Lucknow,MAHARA_DC_02,BA,district,2020,2221,Evidence / Argument,1,0,1
SYN/KL/CRL_A/2022/000010,Kerala,Pune,KERALA_DC_01,CRL_A,district,2022,1504,Final Arguments / Judgment,3,0,0
SYN/KL/CRL_A/2021/000011,Kerala,Lucknow,KERALA_DC_01,CRL_A,district,2021,1713,Summons / Appearance,1,2,1
SYN/MH/BA/2022/000012,Maharashtra,Bhopal,MAHARA_DC_03,BA,district,2022,1595,Final Arguments / Judgment,3,1,1
SYN/DL/BA/2024/000013,Delhi,Guntur,DELHI_DC_04,BA,district,2024,919,Pleadings / Issues,2,0,0
SYN/UP/CS/2021/000014,Uttar Pradesh,Pune,UTTAR__DC_02,CS,district,2021,1890,Pleadings / Issues,1,0,0
SYN/DL/BA/2020/000015,Delhi,Varanasi,DELHI_DC_04,BA,district,2020,2343,Evidence / Argument,1,1,0
SYN/OT/BA/2024/000016,Madhya Pradesh,Varanasi,MADHYA_DC_03,BA,district,2024,942,Pleadings / Issues,1,0,0
SYN/OT/CRL_A/2022/000017,Tamil Nadu,Bhopal,TAMIL__DC_03,CRL_A,district,2022,1468,Summons / Appearance,0,0,0
SYN/KL/MACA/2021/000018,Kerala,Kolkata,KERALA_DC_01,MACA,district,2021,1857,Evidence / Argument,2,2,1
SYN/DL/BA/2021/000019,Delhi,Vijayawada,DELHI_DC_04,BA,district,2021,1998,Evidence / Argument,3,0,0
SYN/OT/CS/2022/000020,Telangana,Kolkata,TELANG_DC_05,CS,district,2022,1659,Summons / Appearance,3,2,1
SYN/OT/CS/2022/000021,Karnataka,Guntur,KARNAT_DC_01,CS,district,2022,1644,Summons / Appearance,2,0,0
SYN/UP/CS/2024/000022,Uttar Pradesh,Delhi,UTTAR__DC_03,CS,district,2024,855,Summons / Appearance,5,0,1
SYN/MH/BA/2020/000023,Maharashtra,Jaipur,MAHARA_DC_04,BA,district,2020,2093,Evidence / Argument,2,0,0
SYN/OT/CRL_A/2024/000024,Chhattisgarh,Pune,CHHATT_DC_03,CRL_A,district,2024,606,Summons / Appearance,2,2,1
SYN/KL/BA/2022/000025,Kerala,Guntur,KERALA_DC_05,BA,district,2022,1654,Pleadings / Issues,1,0,0
SYN/MH/BA/2020/000026,Maharashtra,Bhopal,MAHARA_DC_03,BA,district,2020,2409,Evidence / Argument,2,2,1
SYN/AP/CRL_A/2023/000027,Andhra Pradesh,Bhopal,ANDHRA_DC_04,CRL_A,district,2023,1138,Summons / Appearance,5,2,1
SYN/OT/MACA/2023/000028,Punjab,Kolkata,PUNJAB_DC_02,MACA,district,2023,1012,Final Arguments / Judgment,1,0,0
SYN/AP/BA/2024/000029,Andhra Pradesh,Thane,ANDHRA_DC_03,BA,district,2024,847,Evidence / Argument,0,0,1
SYN/OT/CRL_A/2024/000030,Tamil Nadu,Pune,TAMIL__DC_02,CRL_A,district,2024,919,Summons / Appearance,2,0,0
SYN/MH/WP_C/2020/000031,Maharashtra,Pune,MAHARA_DC_05,WP_C,district,2020,2403,Pleadings / Issues,2,0,0
SYN/UP/WP_C/2023/000032,Uttar Pradesh,Delhi,UTTAR__DC_01,WP_C,district,2023,1235,Pleadings / Issues,1,0,0
SYN/OT/BA/2022/000033,Jharkhand,Jaipur,JHARKH_DC_05,BA,district,2022,1381,Summons / Appearance,3,0,0
SYN/DL/CS/2023/000034,Delhi,Vijayawada,DELHI_DC_03,CS,district,2023,1003,Evidence / Argument,2,0,0
SYN/OT/CRL_A/2023/000035,Punjab,Varanasi,PUNJAB_DC_05,CRL_A,district,2023,1198,Evidence / Argument,3,0,0
SYN/KL/WP_C/2021/000036,Kerala,Varanasi,KERALA_DC_01,WP_C,district,2021,1717,Summons / Appearance,1,3,1
SYN/AP/BA/2020/000037,Andhra Pradesh,Lucknow,ANDHRA_DC_03,BA,district,2020,2296,Pleadings / Issues,0,0,0
SYN/UP/CS/2022/000038,Uttar Pradesh,Jaipur,UTTAR__DC_05,CS,district,2022,1385,Evidence / Argument,1,0,0
SYN/OT/WP_C/2024/000039,Bihar,Lucknow,BIHAR_DC_04,WP_C,district,2024,796,Final Arguments / Judgment,2,1,1
SYN/UP/CRL_A/2023/000040,Uttar Pradesh,Bhopal,UTTAR__DC_04,CRL_A,district,2023,1236,Evidence / Argument,3,0,0
SYN/UP/BA/2022/000041,Uttar Pradesh,Guntur,UTTAR__DC_04,BA,district,2022,1459,Pleadings / Issues,3,0,0
SYN/OT/CRL_A/2023/000042,Odisha,Bhopal,ODISHA_DC_03,CRL_A,district,2023,1187,Summons / Appearance,2,1,1
SYN/OT/CS/2021/000043,Tamil Nadu,Kochi,TAMIL__DC_04,CS,district,2021,1853,Summons / Appearance,6,1,1
SYN/KL/CRL_A/2024/000044,Kerala,Pune,KERALA_DC_02,CRL_A,district,2024,601,Pleadings / Issues,1,0,1
SYN/OT/BA/2024/000045,West Bengal,Thiruvananthapuram,WEST_B_DC_02,BA,district,2024,693,Pleadings / Issues,1,1,0
SYN/AP/BA/2020/000046,Andhra Pradesh,Kolkata,ANDHRA_DC_02,BA,district,2020,2363,Summons / Appearance,1,0,1
SYN/DL/BA/2019/000047,Delhi,Kochi,DELHI_DC_03,BA,district,2019,2706,Summons / Appearance,1,0,0
SYN/OT/BA/2021/000048,Gujarat,Kolkata,GUJARA_DC_01,BA,district,2021,1810,Summons / Appearance,6,2,1
SYN/OT/WP_C/2022/000049,Telangana,Kochi,TELANG_DC_01,WP_C,district,2022,1622,Evidence / Argument,2,0,0
