synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_year,filing_year_bucket,case_age_days,current_stage,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,data_label,generation_source
SYN/PUN/CS/2021/000001,Maharashtra,Pune,PUNE_SYN_DC_01,CS,CPC_GENERAL,district,2021,2020,1985,Summons / Appearance,287,287,5,5,3,4.42,2,73.0,SUMMONS_DELAY,HIGH,HIGH,1,91.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/PUN/CS/2021/000002,Maharashtra,Pune,PUNE_SYN_DC_01,CS,CPC_GENERAL,district,2021,2020,1920,Summons / Appearance,45,21,0,0,0,0.69,2,14.0,UNKNOWN,LOW,HIGH,0,14.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/WP_C/2024/000003,Uttar Pradesh,Pune,UTTAR__DC_04,WP_C,WRIT_GENERAL,district,2024,2024,594,Pleadings / Issues,216,132,0,0,1,1.53,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,30.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2022/000004,Jharkhand,Kolkata,JHARKH_DC_02,CS,CPC_GENERAL,district,2022,2022,1440,Summons / Appearance,53,15,0,0,1,0.15,5,,UNKNOWN,LOW,LOW,0,2.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2024/000005,Jharkhand,Kochi,JHARKH_DC_05,CS,CPC_GENERAL,district,2024,2024,866,Summons / Appearance,159,166,4,4,3,1.89,3,,SUMMONS_DELAY,HIGH,LOW,1,53.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/CS/2020/000006,Maharashtra,Kolkata,MAHARA_DC_01,CS,CPC_GENERAL,district,2020,2020,2143,Pleadings / Issues,71,10,0,0,0,0.73,2,,UNKNOWN,LOW,LOW,0,5.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2021/000007,Chhattisgarh,Varanasi,CHHATT_DC_05,CS,CPC_GENERAL,district,2021,2020,1825,Evidence / Argument,222,4,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2023/000008,Haryana,Guntur,HARYAN_DC_04,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1296,Summons / Appearance,57,0,0,0,0,0.78,5,,UNKNOWN,LOW,LOW,0,4.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/BA/2020/000009,Maharashtra,Lucknow,MAHARA_DC_02,BA,BAIL_GENERAL,district,2020,2020,2221,Evidence / Argument,298,264,1,1,0,1.89,6,,WITNESS_DELAY,MEDIUM,LOW,1,45.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CRL_A/2022/000010,Kerala,Pune,KERALA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2022,2022,1504,Final Arguments / Judgment,19,8,0,0,0,0.19,3,,UNKNOWN,LOW,LOW,0,1.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CRL_A/2021/000011,Kerala,Lucknow,KERALA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2021,2020,1713,Summons / Appearance,72,163,0,0,2,0.75,8,,JUDGE_CHANGE,MEDIUM,LOW,1,21.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/BA/2022/000012,Maharashtra,Bhopal,MAHARA_DC_03,BA,BAIL_GENERAL,district,2022,2022,1595,Final Arguments / Judgment,174,122,0,0,1,1.47,7,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,29.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/BA/2024/000013,Delhi,Guntur,DELHI_DC_04,BA,BAIL_GENERAL,district,2024,2024,919,Pleadings / Issues,54,35,0,0,0,0.7,7,,UNKNOWN,LOW,LOW,0,7.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/CS/2021/000014,Uttar Pradesh,Pune,UTTAR__DC_02,CS,CPC_GENERAL,district,2021,2020,1890,Pleadings / Issues,90,22,0,0,0,0.54,4,,UNKNOWN,LOW,LOW,0,5.1,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/BA/2020/000015,Delhi,Varanasi,DELHI_DC_04,BA,BAIL_GENERAL,district,2020,2020,2343,Evidence / Argument,172,37,0,0,1,0.95,6,,UNKNOWN,LOW,LOW,0,8.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2024/000016,Madhya Pradesh,Varanasi,MADHYA_DC_03,BA,BAIL_GENERAL,district,2024,2024,942,Pleadings / Issues,114,47,0,0,0,1.15,2,,UNKNOWN,LOW,LOW,0,10.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2022/000017,Tamil Nadu,Bhopal,TAMIL__DC_03,CRL_A,CRIMINAL_APPEAL,district,2022,2022,1468,Summons / Appearance,35,14,0,0,0,0.57,2,,UNKNOWN,LOW,LOW,0,4.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/MACA/2021/000018,Kerala,Kolkata,KERALA_DC_01,MACA,MOTOR_ACCIDENT,district,2021,2020,1857,Evidence / Argument,246,107,1,1,2,1.24,2,,JUDGE_CHANGE,MEDIUM,LOW,1,28.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/BA/2021/000019,Delhi,Vijayawada,DELHI_DC_04,BA,BAIL_GENERAL,district,2021,2020,1998,Evidence / Argument,190,12,0,0,0,1.05,6,,UNKNOWN,LOW,LOW,0,7.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2022/000020,Telangana,Kolkata,TELANG_DC_05,CS,CPC_GENERAL,district,2022,2022,1659,Summons / Appearance,150,197,0,0,2,1.0,3,,JUDGE_CHANGE,MEDIUM,LOW,1,32.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2022/000021,Karnataka,Guntur,KARNAT_DC_01,CS,CPC_GENERAL,district,2022,2022,1644,Summons / Appearance,89,28,0,0,0,1.36,2,,UNKNOWN,LOW,LOW,0,10.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/CS/2024/000022,Uttar Pradesh,Delhi,UTTAR__DC_03,CS,CPC_GENERAL,district,2024,2024,855,Summons / Appearance,187,116,5,5,0,1.42,7,,SUMMONS_DELAY,HIGH,LOW,1,48.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/BA/2020/000023,Maharashtra,Jaipur,MAHARA_DC_04,BA,BAIL_GENERAL,district,2020,2020,2093,Evidence / Argument,152,25,0,0,0,0.98,7,,UNKNOWN,LOW,LOW,0,8.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2024/000024,Chhattisgarh,Pune,CHHATT_DC_03,CRL_A,CRIMINAL_APPEAL,district,2024,2024,606,Summons / Appearance,171,81,0,0,2,2.19,3,,JUDGE_CHANGE,MEDIUM,LOW,1,29.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/BA/2022/000025,Kerala,Guntur,KERALA_DC_05,BA,BAIL_GENERAL,district,2022,2022,1654,Pleadings / Issues,94,25,0,0,0,1.05,8,,UNKNOWN,LOW,LOW,0,8.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/BA/2020/000026,Maharashtra,Bhopal,MAHARA_DC_03,BA,BAIL_GENERAL,district,2020,2020,2409,Evidence / Argument,412,340,2,2,2,1.47,5,,JUDGE_CHANGE,MEDIUM,LOW,1,47.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/CRL_A/2023/000027,Andhra Pradesh,Bhopal,ANDHRA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1138,Summons / Appearance,347,209,5,5,2,1.59,7,,SUMMONS_DELAY,HIGH,LOW,1,57.0,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/MACA/2023/000028,Punjab,Kolkata,PUNJAB_DC_02,MACA,MOTOR_ACCIDENT,district,2023,2022,1012,Final Arguments / Judgment,32,39,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,9.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/BA/2024/000029,Andhra Pradesh,Thane,ANDHRA_DC_03,BA,BAIL_GENERAL,district,2024,2024,847,Evidence / Argument,236,204,0,0,0,1.06,4,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,33.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2024/000030,Tamil Nadu,Pune,TAMIL__DC_02,CRL_A,CRIMINAL_APPEAL,district,2024,2024,919,Summons / Appearance,115,20,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,7.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/MH/WP_C/2020/000031,Maharashtra,Pune,MAHARA_DC_05,WP_C,WRIT_GENERAL,district,2020,2020,2403,Pleadings / Issues,92,26,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,8.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/WP_C/2023/000032,Uttar Pradesh,Delhi,UTTAR__DC_01,WP_C,WRIT_GENERAL,district,2023,2022,1235,Pleadings / Issues,42,9,0,0,0,0.81,5,,UNKNOWN,LOW,LOW,0,5.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2022/000033,Jharkhand,Jaipur,JHARKH_DC_05,BA,BAIL_GENERAL,district,2022,2022,1381,Summons / Appearance,33,31,0,0,0,0.43,7,,UNKNOWN,LOW,LOW,0,5.2,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/DL/CS/2023/000034,Delhi,Vijayawada,DELHI_DC_03,CS,CPC_GENERAL,district,2023,2022,1003,Evidence / Argument,128,25,0,0,0,0.81,5,,UNKNOWN,LOW,LOW,0,6.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2023/000035,Punjab,Varanasi,PUNJAB_DC_05,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1198,Evidence / Argument,242,31,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,8.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/WP_C/2021/000036,Kerala,Varanasi,KERALA_DC_01,WP_C,WRIT_GENERAL,district,2021,2020,1717,Summons / Appearance,114,164,0,0,3,1.0,5,,JUDGE_CHANGE,MEDIUM,LOW,1,22.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/BA/2020/000037,Andhra Pradesh,Lucknow,ANDHRA_DC_03,BA,BAIL_GENERAL,district,2020,2020,2296,Pleadings / Issues,83,33,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,8.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/CS/2022/000038,Uttar Pradesh,Jaipur,UTTAR__DC_05,CS,CPC_GENERAL,district,2022,2022,1385,Evidence / Argument,86,51,0,0,0,0.36,8,,UNKNOWN,LOW,LOW,0,6.4,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/WP_C/2024/000039,Bihar,Lucknow,BIHAR_DC_04,WP_C,WRIT_GENERAL,district,2024,2024,796,Final Arguments / Judgment,190,131,0,0,1,1.0,1,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,26.9,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/CRL_A/2023/000040,Uttar Pradesh,Bhopal,UTTAR__DC_04,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1236,Evidence / Argument,133,16,0,0,0,1.02,2,,UNKNOWN,LOW,LOW,0,7.5,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/UP/BA/2022/000041,Uttar Pradesh,Guntur,UTTAR__DC_04,BA,BAIL_GENERAL,district,2022,2022,1459,Pleadings / Issues,111,20,0,0,0,1.66,7,,UNKNOWN,LOW,LOW,0,11.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CRL_A/2023/000042,Odisha,Bhopal,ODISHA_DC_03,CRL_A,CRIMINAL_APPEAL,district,2023,2022,1187,Summons / Appearance,210,148,0,0,1,3.0,5,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,40.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/CS/2021/000043,Tamil Nadu,Kochi,TAMIL__DC_04,CS,CPC_GENERAL,district,2021,2020,1853,Summons / Appearance,230,118,6,6,1,1.0,3,,SUMMONS_DELAY,HIGH,LOW,1,45.8,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/KL/CRL_A/2024/000044,Kerala,Pune,KERALA_DC_02,CRL_A,CRIMINAL_APPEAL,district,2024,2024,601,Pleadings / Issues,190,240,1,1,0,1.39,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,40.3,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/OT/BA/2024/000045,West Bengal,Thiruvananthapuram,WEST_B_DC_02,BA,BAIL_GENERAL,district,2024,2024,693,Pleadings / Issues,80,31,0,0,1,1.0,1,,UNKNOWN,LOW,LOW,0,8.6,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
SYN/AP/BA/2020/000046,Andhra Pradesh,Kolkata,ANDHRA_DC_02,BA,BAIL_GENERAL,district,2020,2020,2363,Summons / Appearance,221,212,0,0,0,1.17,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,34.7,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator
