synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_date,registration_date,pending_since,filing_year,filing_year_bucket,case_age_days,current_status,current_stage,stage_entered_at,first_hearing_date,next_date,court_bench_id,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,is_demo_stalled,is_demo_progressing,data_label,generation_source,evidence_json,explanation_text
SYN/PUN/CS/2021/000001,Maharashtra,Pune,PUNE_SYN_DC_01,CS,CPC_GENERAL,district,2021-03-10,2021-03-16,2021-03-16,2021,2020,1985,Pending,Summons / Appearance,2025-11-02,2021-04-06,2026-09-16,SYN-BENCH-01,287,287,5,5,3,4.42,2,73.0,SUMMONS_DELAY,HIGH,HIGH,1,91.4,True,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/PUN/CS/2021/000001"",""court_establishment"":""PUNE_SYN_DC_01"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2021-03-10"",""stage_entered_at"":""2025-11-02"",""days_in_current_stage"":287,""cohort_median_days_in_stage"":166.0,""stage_deviation_ratio"":4.42,""days_since_substantive_event"":287,""adjournment_streak"":5,""adjournment_count"":5,""judge_change_count"":3,""cohort_size"":2,""cohort_age_percentile"":73.0,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""HIGH"",""triage_score"":91.4,""component_scores"":{""structural_deviation"":34.6,""inactivity"":95.67,""age_deviation"":0,""adjournment"":100.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 287 days (4.42x cohort median of 166d). Summons was issued with no return of service recorded over 287 days, resulting in 5 consecutive adjournments. High administrative actionability."
SYN/PUN/CS/2021/000002,Maharashtra,Pune,PUNE_SYN_DC_01,CS,CPC_GENERAL,district,2021-05-14,2021-05-18,2021-05-18,2021,2020,1920,Pending,Summons / Appearance,2026-07-02,2021-05-26,2026-09-28,SYN-BENCH-09,45,21,0,0,0,0.69,2,14.0,UNKNOWN,LOW,HIGH,0,14.7,False,True,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/PUN/CS/2021/000002"",""court_establishment"":""PUNE_SYN_DC_01"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2021-05-14"",""stage_entered_at"":""2026-07-02"",""days_in_current_stage"":45,""cohort_median_days_in_stage"":166.0,""stage_deviation_ratio"":0.69,""days_since_substantive_event"":21,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":14.0,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""HIGH"",""triage_score"":14.7,""component_scores"":{""structural_deviation"":5.4,""inactivity"":7.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 45 days (0.69x cohort median of 166d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/UP/WP_C/2024/000003,Uttar Pradesh,Pune,UTTAR__DC_04,WP_C,WRIT_GENERAL,district,2024-12-30,2024-12-31,2024-12-31,2024,2024,594,Pending,Pleadings / Issues,2026-01-12,2025-02-07,2026-11-01,SYN-BENCH-06,216,132,0,0,1,1.53,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,30.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/WP_C/2024/000003"",""court_establishment"":""UTTAR__DC_04"",""case_type"":""WP_C"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2024-12-30"",""stage_entered_at"":""2026-01-12"",""days_in_current_stage"":216,""cohort_median_days_in_stage"":141.5,""stage_deviation_ratio"":1.53,""days_since_substantive_event"":132,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":30.2,""component_scores"":{""structural_deviation"":30.6,""inactivity"":44.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Pleadings / Issues' for 216 days (1.53x cohort median of 142d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/CS/2022/000004,Jharkhand,Kolkata,JHARKH_DC_02,CS,CPC_GENERAL,district,2022-09-06,2022-09-16,2022-09-16,2022,2022,1440,Pending,Summons / Appearance,2026-06-24,2022-09-26,2026-09-15,SYN-BENCH-09,53,15,0,0,1,0.15,5,,UNKNOWN,LOW,LOW,0,2.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2022/000004"",""court_establishment"":""JHARKH_DC_02"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-09-06"",""stage_entered_at"":""2026-06-24"",""days_in_current_stage"":53,""cohort_median_days_in_stage"":347,""stage_deviation_ratio"":0.15,""days_since_substantive_event"":15,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":2.1,""component_scores"":{""structural_deviation"":3.0,""inactivity"":5.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 53 days (0.15x cohort median of 347d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CS/2024/000005,Jharkhand,Kochi,JHARKH_DC_05,CS,CPC_GENERAL,district,2024-04-02,2024-04-13,2024-04-13,2024,2024,866,Pending,Summons / Appearance,2026-03-10,2024-05-11,2026-11-14,SYN-BENCH-10,159,166,4,4,3,1.89,3,,SUMMONS_DELAY,HIGH,LOW,1,53.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2024/000005"",""court_establishment"":""JHARKH_DC_05"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2024-04-02"",""stage_entered_at"":""2026-03-10"",""days_in_current_stage"":159,""cohort_median_days_in_stage"":84,""stage_deviation_ratio"":1.89,""days_since_substantive_event"":166,""adjournment_streak"":4,""adjournment_count"":4,""judge_change_count"":3,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":53.2,""component_scores"":{""structural_deviation"":37.8,""inactivity"":55.33,""age_deviation"":0,""adjournment"":80.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 159 days (1.89x cohort median of 84d). Summons was issued with no return of service recorded over 159 days, resulting in 4 consecutive adjournments. High administrative actionability."
SYN/MH/CS/2020/000006,Maharashtra,Kolkata,MAHARA_DC_01,CS,CPC_GENERAL,district,2020-10-03,2020-10-10,2020-10-10,2020,2020,2143,Pending,Pleadings / Issues,2026-06-06,2020-10-24,2026-10-19,SYN-BENCH-08,71,10,0,0,0,0.73,2,,UNKNOWN,LOW,LOW,0,5.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/CS/2020/000006"",""court_establishment"":""MAHARA_DC_01"",""case_type"":""CS"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2020-10-03"",""stage_entered_at"":""2026-06-06"",""days_in_current_stage"":71,""cohort_median_days_in_stage"":97.5,""stage_deviation_ratio"":0.73,""days_since_substantive_event"":10,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":5.2,""component_scores"":{""structural_deviation"":14.6,""inactivity"":3.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 71 days (0.73x cohort median of 98d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CS/2021/000007,Chhattisgarh,Varanasi,CHHATT_DC_05,CS,CPC_GENERAL,district,2021-08-17,2021-09-01,2021-09-01,2021,2020,1825,Pending,Evidence / Argument,2026-01-06,2021-10-29,2026-09-27,SYN-BENCH-04,222,4,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2021/000007"",""court_establishment"":""CHHATT_DC_05"",""case_type"":""CS"",""current_stage"":""Evidence / Argument"",""filing_date"":""2021-08-17"",""stage_entered_at"":""2026-01-06"",""days_in_current_stage"":222,""cohort_median_days_in_stage"":222,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":4,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.3,""component_scores"":{""structural_deviation"":20.0,""inactivity"":1.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 222 days (1.0x cohort median of 222d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CRL_A/2023/000008,Haryana,Guntur,HARYAN_DC_04,CRL_A,CRIMINAL_APPEAL,district,2023-01-28,2023-02-12,2023-02-12,2023,2022,1296,Pending,Summons / Appearance,2026-06-20,2023-03-23,2026-09-09,SYN-BENCH-07,57,0,0,0,0,0.78,5,,UNKNOWN,LOW,LOW,0,4.7,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2023/000008"",""court_establishment"":""HARYAN_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2023-01-28"",""stage_entered_at"":""2026-06-20"",""days_in_current_stage"":57,""cohort_median_days_in_stage"":73,""stage_deviation_ratio"":0.78,""days_since_substantive_event"":0,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":4.7,""component_scores"":{""structural_deviation"":15.6,""inactivity"":0.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 57 days (0.78x cohort median of 73d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/MH/BA/2020/000009,Maharashtra,Lucknow,MAHARA_DC_02,BA,BAIL_GENERAL,district,2020-07-17,2020-07-31,2020-07-31,2020,2020,2221,Pending,Evidence / Argument,2025-10-22,2020-09-19,2026-10-31,SYN-BENCH-06,298,264,1,1,0,1.89,6,,WITNESS_DELAY,MEDIUM,LOW,1,45.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/BA/2020/000009"",""court_establishment"":""MAHARA_DC_02"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2020-07-17"",""stage_entered_at"":""2025-10-22"",""days_in_current_stage"":298,""cohort_median_days_in_stage"":157.5,""stage_deviation_ratio"":1.89,""days_since_substantive_event"":264,""adjournment_streak"":1,""adjournment_count"":1,""judge_change_count"":0,""cohort_size"":6,""cohort_age_percentile"":null,""bottleneck_type"":""WITNESS_DELAY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":45.3,""component_scores"":{""structural_deviation"":37.8,""inactivity"":88.0,""age_deviation"":0,""adjournment"":20.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 298 days (1.89x cohort median of 158d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/KL/CRL_A/2022/000010,Kerala,Pune,KERALA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2022-07-04,2022-07-18,2022-07-18,2022,2022,1504,Pending,Final Arguments / Judgment,2026-07-28,2022-08-05,2026-10-27,SYN-BENCH-10,19,8,0,0,0,0.19,3,,UNKNOWN,LOW,LOW,0,1.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2022/000010"",""court_establishment"":""KERALA_DC_01"",""case_type"":""CRL_A"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2022-07-04"",""stage_entered_at"":""2026-07-28"",""days_in_current_stage"":19,""cohort_median_days_in_stage"":101,""stage_deviation_ratio"":0.19,""days_since_substantive_event"":8,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":1.8,""component_scores"":{""structural_deviation"":3.8,""inactivity"":2.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 19 days (0.19x cohort median of 101d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
