cohort_id,court_establishment,case_type,act_section_bucket,filing_year_bucket,current_stage,cohort_size,median_days_in_stage,p75_days_in_stage,p90_days_in_stage,data_label
COHORT_0001,ANDHRA_DC_01,BA,BAIL_GENERAL,2018,Evidence / Argument,1,228,228,228,SYNTHETIC_AUGMENTED
COHORT_0002,ANDHRA_DC_01,BA,BAIL_GENERAL,2018,Final Arguments / Judgment,1,100,100,100,SYNTHETIC_AUGMENTED
COHORT_0003,ANDHRA_DC_01,BA,BAIL_GENERAL,2020,Evidence / Argument,2,331.5,288,288,SYNTHETIC_AUGMENTED
COHORT_0004,ANDHRA_DC_01,BA,BAIL_GENERAL,2020,Filing / Registration,2,9.5,6,6,SYNTHETIC_AUGMENTED
COHORT_0005,ANDHRA_DC_01,BA,BAIL_GENERAL,2020,Final Arguments / Judgment,3,54,54,54,SYNTHETIC_AUGMENTED
COHORT_0006,ANDHRA_DC_01,BA,BAIL_GENERAL,2020,Pleadings / Issues,5,82,97,97,SYNTHETIC_AUGMENTED
COHORT_0007,ANDHRA_DC_01,BA,BAIL_GENERAL,2020,Summons / Appearance,3,103,103,103,SYNTHETIC_AUGMENTED
COHORT_0008,ANDHRA_DC_01,BA,BAIL_GENERAL,2022,Evidence / Argument,7,142,173,228,SYNTHETIC_AUGMENTED
COHORT_0009,ANDHRA_DC_01,BA,BAIL_GENERAL,2022,Filing / Registration,1,17,17,17,SYNTHETIC_AUGMENTED
COHORT_0010,ANDHRA_DC_01,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,3,78,78,78,SYNTHETIC_AUGMENTED
COHORT_0011,ANDHRA_DC_01,BA,BAIL_GENERAL,2022,Pleadings / Issues,4,95.5,99,99,SYNTHETIC_AUGMENTED
COHORT_0012,ANDHRA_DC_01,BA,BAIL_GENERAL,2022,Summons / Appearance,7,217,242,302,SYNTHETIC_AUGMENTED
COHORT_0013,ANDHRA_DC_01,BA,BAIL_GENERAL,2024,Evidence / Argument,7,274,307,371,SYNTHETIC_AUGMENTED
COHORT_0014,ANDHRA_DC_01,BA,BAIL_GENERAL,2024,Filing / Registration,2,17.5,14,14,SYNTHETIC_AUGMENTED
COHORT_0015,ANDHRA_DC_01,BA,BAIL_GENERAL,2024,Final Arguments / Judgment,4,68.5,78,78,SYNTHETIC_AUGMENTED
COHORT_0016,ANDHRA_DC_01,BA,BAIL_GENERAL,2024,Pleadings / Issues,2,201.0,84,84,SYNTHETIC_AUGMENTED
COHORT_0017,ANDHRA_DC_01,BA,BAIL_GENERAL,2024,Summons / Appearance,4,190.5,220,220,SYNTHETIC_AUGMENTED
COHORT_0018,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2018,Evidence / Argument,2,244.5,151,151,SYNTHETIC_AUGMENTED
COHORT_0019,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Evidence / Argument,2,271.5,106,106,SYNTHETIC_AUGMENTED
COHORT_0020,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Final Arguments / Judgment,1,113,113,113,SYNTHETIC_AUGMENTED
COHORT_0021,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,1,264,264,264,SYNTHETIC_AUGMENTED
COHORT_0022,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Summons / Appearance,3,111,111,111,SYNTHETIC_AUGMENTED
COHORT_0023,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,2,169.5,89,89,SYNTHETIC_AUGMENTED
COHORT_0024,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Filing / Registration,3,31,31,31,SYNTHETIC_AUGMENTED
COHORT_0025,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Final Arguments / Judgment,3,63,63,63,SYNTHETIC_AUGMENTED
COHORT_0026,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,5,122,302,302,SYNTHETIC_AUGMENTED
COHORT_0027,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,8,86.0,95,175,SYNTHETIC_AUGMENTED
COHORT_0028,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Evidence / Argument,1,323,323,323,SYNTHETIC_AUGMENTED
COHORT_0029,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Final Arguments / Judgment,2,86.0,85,85,SYNTHETIC_AUGMENTED
COHORT_0030,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,1,155,155,155,SYNTHETIC_AUGMENTED
COHORT_0031,ANDHRA_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,7,190,240,247,SYNTHETIC_AUGMENTED
COHORT_0032,ANDHRA_DC_01,CS,CPC_GENERAL,2018,Evidence / Argument,1,114,114,114,SYNTHETIC_AUGMENTED
COHORT_0033,ANDHRA_DC_01,CS,CPC_GENERAL,2018,Filing / Registration,1,15,15,15,SYNTHETIC_AUGMENTED
COHORT_0034,ANDHRA_DC_01,CS,CPC_GENERAL,2018,Final Arguments / Judgment,2,126.0,52,52,SYNTHETIC_AUGMENTED
COHORT_0035,ANDHRA_DC_01,CS,CPC_GENERAL,2018,Pleadings / Issues,3,81,81,81,SYNTHETIC_AUGMENTED
COHORT_0036,ANDHRA_DC_01,CS,CPC_GENERAL,2020,Evidence / Argument,3,226,226,226,SYNTHETIC_AUGMENTED
COHORT_0037,ANDHRA_DC_01,CS,CPC_GENERAL,2020,Filing / Registration,1,9,9,9,SYNTHETIC_AUGMENTED
COHORT_0038,ANDHRA_DC_01,CS,CPC_GENERAL,2020,Final Arguments / Judgment,1,74,74,74,SYNTHETIC_AUGMENTED
COHORT_0039,ANDHRA_DC_01,CS,CPC_GENERAL,2020,Pleadings / Issues,4,137.0,148,148,SYNTHETIC_AUGMENTED
COHORT_0040,ANDHRA_DC_01,CS,CPC_GENERAL,2020,Summons / Appearance,4,120.5,153,153,SYNTHETIC_AUGMENTED
COHORT_0041,ANDHRA_DC_01,CS,CPC_GENERAL,2022,Evidence / Argument,5,209,241,241,SYNTHETIC_AUGMENTED
COHORT_0042,ANDHRA_DC_01,CS,CPC_GENERAL,2022,Filing / Registration,3,13,13,13,SYNTHETIC_AUGMENTED
COHORT_0043,ANDHRA_DC_01,CS,CPC_GENERAL,2022,Final Arguments / Judgment,5,71,134,134,SYNTHETIC_AUGMENTED
COHORT_0044,ANDHRA_DC_01,CS,CPC_GENERAL,2022,Pleadings / Issues,3,123,123,123,SYNTHETIC_AUGMENTED
COHORT_0045,ANDHRA_DC_01,CS,CPC_GENERAL,2022,Summons / Appearance,9,191,250,274,SYNTHETIC_AUGMENTED
COHORT_0046,ANDHRA_DC_01,CS,CPC_GENERAL,2024,Evidence / Argument,1,135,135,135,SYNTHETIC_AUGMENTED
COHORT_0047,ANDHRA_DC_01,CS,CPC_GENERAL,2024,Filing / Registration,1,34,34,34,SYNTHETIC_AUGMENTED
COHORT_0048,ANDHRA_DC_01,CS,CPC_GENERAL,2024,Pleadings / Issues,4,58.5,77,77,SYNTHETIC_AUGMENTED
COHORT_0049,ANDHRA_DC_01,CS,CPC_GENERAL,2024,Summons / Appearance,3,78,78,78,SYNTHETIC_AUGMENTED
