feature,importance,mean_abs_shap
judge_change_count,0.21501228,1.7312407
adjournment_count,0.0417409,0.51527774
current_stage_Evidence / Argument,0.022999367,0.2007667
current_stage_Summons / Appearance,0.041713122,0.19155946
case_age_days,0.0060070786,0.07632543
current_stage_Pleadings / Issues,0.01636045,0.072986744
current_stage_Filing / Registration,0.006858471,0.031892028
district_Thane,0.0059006596,0.025659956
court_establishment_KERALA_DC_02,0.0040510567,0.01960275
case_type_CRL_A,0.0051204823,0.018742261
district_Vijayawada,0.0034227152,0.016438955
case_type_CS,0.005660854,0.015293149
state_Telangana,0.008636985,0.01346457
case_type_BA,0.005533839,0.013411611
case_type_MACA,0.005368827,0.0130926445
state_Punjab,0.007993785,0.01278234
court_establishment_KERALA_DC_05,0.005050682,0.012278309
state_West Bengal,0.010305154,0.0103657935
court_establishment_UTTAR__DC_05,0.0061309054,0.010271629
current_stage_Final Arguments / Judgment,0.013649742,0.009658303
case_type_WP_C,0.0056878743,0.009604706
court_establishment_DELHI_DC_04,0.0059619104,0.009243367
state_Maharashtra,0.005526074,0.0085163815
state_Delhi,0.0061128456,0.00841514
state_Odisha,0.008562467,0.008133877
district_Jaipur,0.007879081,0.007756293
court_establishment_MAHARA_DC_01,0.0057611647,0.007744795
district_Delhi,0.0034667666,0.007684361
district_Guntur,0.0077086845,0.0071932026
state_Uttar Pradesh,0.0077932095,0.006891557
district_Thiruvananthapuram,0.005369834,0.0064292517
court_establishment_KERALA_DC_03,0.0020045983,0.0063784528
state_Madhya Pradesh,0.007897654,0.0063615376
court_establishment_BIHAR_DC_01,0.003993696,0.005877407
court_establishment_KARNAT_DC_04,0.003964296,0.0055673774
court_establishment_HARYAN_DC_01,0.0040686633,0.0055390657
court_establishment_ASSAM_DC_04,0.002981912,0.0054673324
state_Bihar,0.012131272,0.005443944
state_Jharkhand,0.010410165,0.005318576
court_establishment_DELHI_DC_01,0.0033513554,0.00513381
court_establishment_JHARKH_DC_01,0.0035915405,0.004987252
state_Gujarat,0.009182573,0.0049120015
filing_year,0.004540897,0.004682825
court_establishment_MADHYA_DC_03,0.0055287452,0.004516458
court_establishment_ANDHRA_DC_02,0.0056642336,0.004510712
court_establishment_CHHATT_DC_05,0.006675847,0.004083658
court_establishment_ANDHRA_DC_01,0.0059182704,0.003896581
state_Andhra Pradesh,0.009001205,0.0037956676
district_Kochi,0.0042265668,0.0037214255
court_establishment_ASSAM_DC_01,0.006722341,0.0034318839
court_establishment_PUNJAB_DC_01,0.0027364946,0.0032837929
district_Bhopal,0.0056555965,0.0032449951
court_establishment_TAMIL__DC_02,0.008472472,0.0031350038
court_establishment_UTTAR__DC_01,0.009432532,0.0030256195
district_Lucknow,0.006251903,0.0029080338
district_Kolkata,0.0056752167,0.0028893326
court_establishment_WEST_B_DC_01,0.0038428996,0.002841995
state_Kerala,0.006528579,0.0027138644
court_establishment_UTTAR__DC_04,0.006293548,0.0026112932
court_establishment_WEST_B_DC_03,0.0101196105,0.0025520753
court_establishment_KARNAT_DC_01,0.0024719527,0.0025498164
court_establishment_KERALA_DC_04,0.008999896,0.002511167
court_establishment_DELHI_DC_02,0.0055883294,0.002485056
court_establishment_MADHYA_DC_02,0.0023834219,0.0024349545
district_Varanasi,0.0051241866,0.0024326108
court_establishment_DELHI_DC_05,0.0057501984,0.002415279
court_establishment_JHARKH_DC_05,0.009479819,0.0022127586
district_Pune,0.007454637,0.002101184
court_establishment_TAMIL__DC_03,0.0054339515,0.0019846817
court_establishment_TELANG_DC_05,0.0053290953,0.0017706983
court_establishment_KARNAT_DC_05,0.0056386804,0.0017110218
court_establishment_MAHARA_DC_04,0.0049531716,0.0015959158
court_establishment_GUJARA_DC_02,0.003391785,0.0015377497
court_establishment_WEST_B_DC_05,0.007854509,0.0015152168
court_establishment_ASSAM_DC_03,0.0049936427,0.0014841912
court_establishment_TAMIL__DC_04,0.004638075,0.0014658013
court_establishment_DELHI_DC_03,0.0056275693,0.0013506167
court_establishment_KARNAT_DC_02,0.0047665806,0.0013040256
court_establishment_HARYAN_DC_03,0.007997844,0.0012704949
state_Haryana,0.0056299916,0.0012686051
court_establishment_PUNJAB_DC_05,0.0036223677,0.0012545937
court_establishment_ANDHRA_DC_04,0.0075622774,0.0012371747
court_establishment_ANDHRA_DC_03,0.0060513103,0.0011916063
court_establishment_MAHARA_DC_03,0.008465027,0.0011838368
court_establishment_CHHATT_DC_02,0.0039524646,0.0011051043
court_establishment_TAMIL__DC_01,0.004846383,0.0010282357
state_Chhattisgarh,0.0050195,0.0010139587
court_establishment_ASSAM_DC_02,0.0052490174,0.000988044
state_Assam,0.010087368,0.0009600291
court_establishment_KERALA_DC_01,0.00793321,0.00092747976
court_establishment_GUJARA_DC_04,0.0050798063,0.00087206275
court_establishment_GUJARA_DC_03,0.005385483,0.0007969932
court_establishment_ODISHA_DC_05,0.004520659,0.0007701097
court_establishment_PUNJAB_DC_03,0.013198454,0.000751317
court_establishment_ANDHRA_DC_05,0.0074064494,0.0007340814
court_establishment_BIHAR_DC_02,0.010747359,0.0006973046
court_establishment_RAJAST_DC_01,0.0067226924,0.0006748696
court_establishment_MAHARA_DC_05,0.0073899245,0.00060549204
state_Rajasthan,0.0066184904,0.00058751507
court_establishment_MAHARA_DC_02,0.0013523074,0.0005704104
court_establishment_TELANG_DC_04,0.0081087,0.00052491354
court_establishment_ODISHA_DC_02,0.0041941763,0.00049009116
court_establishment_HARYAN_DC_05,0.004305936,0.0004685305
court_establishment_TELANG_DC_02,0.0016650959,0.0004172678
court_establishment_TELANG_DC_03,0.005831618,0.0004170401
court_establishment_PUNJAB_DC_02,0.00816089,0.0004075502
court_establishment_JHARKH_DC_04,0.0027052069,0.00037806746
court_establishment_MADHYA_DC_05,0.010010734,0.0003569944
court_establishment_TELANG_DC_01,0.0039619794,0.00022627514
court_establishment_MADHYA_DC_04,0.0026700653,0.00021262535
court_establishment_CHHATT_DC_03,0.0039476445,0.00020754023
state_Karnataka,0.009025573,0.00016928217
court_establishment_PUNJAB_DC_04,0.0059408685,0.00013969906
court_establishment_RAJAST_DC_02,0.0005416547,5.4295168e-05
court_establishment_HARYAN_DC_02,0.0,0.0
court_establishment_GUJARA_DC_05,0.0,0.0
court_establishment_JHARKH_DC_02,0.0,0.0
court_establishment_HARYAN_DC_04,0.0,0.0
court_establishment_BIHAR_DC_03,0.0,0.0
court_establishment_CHHATT_DC_01,0.0,0.0
court_establishment_CHHATT_DC_04,0.0,0.0
court_establishment_BIHAR_DC_05,0.0,0.0
state_Tamil Nadu,0.0,0.0
court_establishment_ASSAM_DC_05,0.0,0.0
court_establishment_BIHAR_DC_04,0.0,0.0
court_establishment_GUJARA_DC_01,0.0,0.0
court_establishment_KARNAT_DC_03,0.0,0.0
court_establishment_JHARKH_DC_03,0.0,0.0
court_establishment_ODISHA_DC_04,0.0,0.0
court_establishment_RAJAST_DC_03,0.0,0.0
court_establishment_ODISHA_DC_03,0.0,0.0
court_establishment_ODISHA_DC_01,0.0,0.0
court_establishment_MADHYA_DC_01,0.0,0.0
court_establishment_PUNE_SYN_DC_01,0.0,0.0
court_establishment_RAJAST_DC_04,0.0,0.0
court_establishment_UTTAR__DC_03,0.0,0.0
court_establishment_RAJAST_DC_05,0.0,0.0
court_establishment_TAMIL__DC_05,0.0,0.0
court_establishment_UTTAR__DC_02,0.0,0.0
court_establishment_WEST_B_DC_04,0.0,0.0
court_establishment_WEST_B_DC_02,0.0,0.0
tier_district,0.0,0.0
